features,class
"[0.29597983, 0.31584713, 0.29459617, 0.23986489, 0.29456353, 0.31403103, 0.23693249, 0.23518, 0.28398794, 0.37791845, 0.6206915, 0.43712384]",blues
"[0.27003896, 0.16510168, 0.24188988, 0.24282663, 0.28292662, 0.2934613, 0.26243213, 0.17003126, 0.19486086, 0.24148698, 0.35236862, 0.5193533]",blues
"[0.23239246, 0.16875646, 0.14952134, 0.27854714, 0.40721017, 0.24952652, 0.27207145, 0.35484123, 0.5287468, 0.53785884, 0.2649032, 0.2538276]",blues
"[0.30274373, 0.2072667, 0.15756594, 0.15969361, 0.30663747, 0.25637436, 0.254301, 0.31278464, 0.4252118, 0.57849765, 0.3529977, 0.31265056]",blues
"[0.21087258, 0.16098844, 0.18929793, 0.20331983, 0.21737565, 0.28002, 0.32929382, 0.25057682, 0.33021915, 0.3768181, 0.2984076, 0.3936369]",blues
"[0.19479886, 0.19424137, 0.15759371, 0.25427654, 0.3406991, 0.14696781, 0.13919757, 0.2439507, 0.43773445, 0.55457735, 0.25228745, 0.17302035]",blues
"[0.24969853, 0.1725493, 0.21799384, 0.2924686, 0.49619138, 0.24927711, 0.22601503, 0.34278342, 0.38807404, 0.29929027, 0.2833129, 0.414544]",blues
"[0.23314044, 0.16188845, 0.18005443, 0.21771011, 0.38677165, 0.55786777, 0.45691478, 0.44296703, 0.40354618, 0.29668957, 0.28413838, 0.23403352]",blues
"[0.38983423, 0.23306343, 0.2116808, 0.25654742, 0.32922992, 0.49539053, 0.35581505, 0.32016486, 0.28152817, 0.31771594, 0.2505592, 0.23779835]",blues
"[0.20817874, 0.27392069, 0.18811935, 0.20792684, 0.48324555, 0.22903048, 0.12468961, 0.16487423, 0.2821386, 0.6510638, 0.36538815, 0.19110772]",blues
"[0.30598634, 0.23333077, 0.23136055, 0.175069, 0.20530392, 0.23783106, 0.117815435, 0.08231534, 0.12756333, 0.29739895, 0.6092574, 0.53360415]",blues
"[0.24255449, 0.20957917, 0.26647526, 0.18082725, 0.23675506, 0.30517632, 0.13574517, 0.11208092, 0.17639194, 0.43706873, 0.7760873, 0.41263807]",blues
"[0.37540942, 0.24692558, 0.21814579, 0.14881718, 0.20565744, 0.36973113, 0.2006213, 0.15378377, 0.19790982, 0.2496526, 0.46667793, 0.50955707]",blues
"[0.3900654, 0.23868652, 0.28065106, 0.24534842, 0.41357574, 0.29710385, 0.20207985, 0.12528217, 0.16353565, 0.2144533, 0.3318791, 0.5615291]",blues
"[0.29118365, 0.22086829, 0.25875145, 0.17773196, 0.21091938, 0.30962655, 0.16718781, 0.10157474, 0.16208439, 0.33741468, 0.59938693, 0.4765993]",blues
"[0.26921853, 0.35695505, 0.47367954, 0.43120918, 0.28164554, 0.22594431, 0.20370929, 0.22682087, 0.24057113, 0.31929255, 0.17705657, 0.16014047]",blues
"[0.24562274, 0.16386972, 0.19971713, 0.27159357, 0.29270834, 0.46752834, 0.3755134, 0.38632497, 0.22245218, 0.1629758, 0.20574151, 0.16624272]",blues
"[0.13404495, 0.28729898, 0.44929618, 0.3312368, 0.15567012, 0.102855824, 0.19868523, 0.28701687, 0.24915193, 0.4189719, 0.24752298, 0.18285924]",blues
"[0.35346484, 0.21886383, 0.19670102, 0.1828025, 0.22355972, 0.29604754, 0.31156403, 0.43498302, 0.2772199, 0.24801259, 0.29694486, 0.27406594]",blues
"[0.31225818, 0.21676709, 0.17699014, 0.15533994, 0.24401124, 0.45676175, 0.31697577, 0.23535432, 0.2103786, 0.26926452, 0.28182495, 0.2534079]",blues
"[0.23813908, 0.3260149, 0.4690566, 0.38127306, 0.24755783, 0.23872112, 0.19899222, 0.21244022, 0.23597267, 0.31411546, 0.15829185, 0.12548213]",blues
"[0.1949699, 0.17143929, 0.25228927, 0.29602483, 0.33841798, 0.3786535, 0.29369667, 0.2937795, 0.28503644, 0.35732546, 0.398264, 0.19942853]",blues
"[0.26551858, 0.13945214, 0.13098149, 0.1486283, 0.2569229, 0.5004203, 0.27031165, 0.12934016, 0.17691456, 0.24980727, 0.31713808, 0.21448469]",blues
"[0.3207976, 0.12669596, 0.087898366, 0.19910593, 0.34085968, 0.6230327, 0.35185373, 0.19937551, 0.20562696, 0.1780145, 0.16849688, 0.18225129]",blues
"[0.12085096, 0.100985415, 0.1766867, 0.35551718, 0.26488572, 0.24457873, 0.2912397, 0.3112276, 0.34623525, 0.31755847, 0.4433919, 0.21700133]",blues
"[0.33036843, 0.2263726, 0.18004206, 0.16491587, 0.28338364, 0.48251808, 0.24697596, 0.14491218, 0.1779167, 0.28696427, 0.28422698, 0.25558624]",blues
"[0.37630007, 0.45156258, 0.35624105, 0.43875366, 0.29064685, 0.28433126, 0.3264367, 0.4896584, 0.6703292, 0.4578567, 0.33623812, 0.29706192]",blues
"[0.32435519, 0.35894373, 0.41985658, 0.567746, 0.30376822, 0.25161874, 0.3246229, 0.39394122, 0.45353785, 0.42700875, 0.4911217, 0.3271848]",blues
"[0.4521309, 0.48424736, 0.34599462, 0.24868523, 0.312434, 0.36518, 0.42603922, 0.36129725, 0.3295366, 0.34442464, 0.39552647, 0.46685934]",blues
"[0.44768158, 0.31520995, 0.32252786, 0.3675151, 0.40888056, 0.36729553, 0.46388415, 0.38013315, 0.4194935, 0.38528574, 0.39022142, 0.5190847]",blues
"[0.3181043, 0.43621957, 0.4341526, 0.46491626, 0.31475982, 0.261172, 0.32775137, 0.3501995, 0.48048878, 0.46842116, 0.49790007, 0.32732397]",blues
"[0.41381457, 0.37687907, 0.3268808, 0.3764836, 0.315585, 0.28809077, 0.3601863, 0.43069476, 0.5446735, 0.57058346, 0.63430923, 0.5180443]",blues
"[0.29647738, 0.41974315, 0.4235332, 0.4803573, 0.3637609, 0.26509038, 0.34946558, 0.40172693, 0.5101565, 0.45477003, 0.39039877, 0.30080053]",blues
"[0.31126714, 0.460031, 0.27093488, 0.3213555, 0.5382284, 0.30848098, 0.33225122, 0.31158984, 0.43027204, 0.2554289, 0.21250436, 0.28472668]",blues
"[0.32967398, 0.39710772, 0.4182035, 0.46897772, 0.2986713, 0.2749344, 0.32680327, 0.38416684, 0.45961663, 0.4006136, 0.47278097, 0.32255533]",blues
"[0.27479947, 0.36551288, 0.34684715, 0.3289984, 0.21967797, 0.23847559, 0.18782447, 0.17453857, 0.2184006, 0.256801, 0.42240766, 0.29683337]",blues
"[0.42400154, 0.31038332, 0.38508797, 0.42760634, 0.45190707, 0.36471468, 0.4060389, 0.3022854, 0.32726085, 0.39414024, 0.4422726, 0.5764098]",blues
"[0.27404577, 0.29794067, 0.36342373, 0.48127335, 0.5492943, 0.4152977, 0.35454723, 0.39159578, 0.4405639, 0.38723397, 0.38174227, 0.38746774]",blues
"[0.40404314, 0.29733893, 0.24487227, 0.19055516, 0.26871732, 0.3311711, 0.42022812, 0.62333596, 0.42822596, 0.2990131, 0.2724881, 0.2881045]",blues
"[0.42372707, 0.46389118, 0.4356216, 0.44243562, 0.30335945, 0.39098874, 0.5002803, 0.39927357, 0.41707554, 0.36342365, 0.40568224, 0.40354976]",blues
"[0.36975542, 0.47393718, 0.5470836, 0.47986817, 0.5048334, 0.38611668, 0.40727538, 0.42249277, 0.49911526, 0.5493525, 0.42881045, 0.36591512]",blues
"[0.42450806, 0.37567294, 0.39725196, 0.31798834, 0.47179353, 0.47938928, 0.5311408, 0.56827646, 0.40231907, 0.4051415, 0.4131528, 0.4099167]",blues
"[0.2945256, 0.27192184, 0.40109476, 0.4066164, 0.51840186, 0.41502264, 0.43759355, 0.41844678, 0.37715596, 0.390699, 0.3414961, 0.41902235]",blues
"[0.4120364, 0.36025062, 0.40030438, 0.42995495, 0.48683348, 0.46076605, 0.51223606, 0.38315812, 0.35029674, 0.37509117, 0.40792206, 0.5142141]",blues
"[0.34927896, 0.46345878, 0.41217002, 0.48248786, 0.30605257, 0.28159836, 0.37192652, 0.3050565, 0.3382037, 0.29338637, 0.28728274, 0.39090228]",blues
"[0.4520764, 0.404515, 0.41440803, 0.2743665, 0.37092328, 0.44354904, 0.43165007, 0.5265064, 0.36678392, 0.3939457, 0.4086273, 0.38429418]",blues
"[0.31149444, 0.3667144, 0.44526127, 0.43729848, 0.56531256, 0.41445974, 0.42420846, 0.386555, 0.46534842, 0.5949353, 0.42152852, 0.3370701]",blues
"[0.36954948, 0.31483826, 0.5480679, 0.35690755, 0.5213216, 0.45568717, 0.44219694, 0.4867341, 0.36736113, 0.55985457, 0.4925591, 0.50837857]",blues
"[0.44045103, 0.29634097, 0.29614753, 0.27822417, 0.26161125, 0.4405735, 0.2779733, 0.34949344, 0.3520161, 0.2490634, 0.24528441, 0.2556349]",blues
"[0.47272357, 0.3147353, 0.33846498, 0.34510896, 0.28410164, 0.41333306, 0.29261696, 0.29409805, 0.30473605, 0.32462913, 0.28584212, 0.294288]",blues
"[0.58665395, 0.30663523, 0.37013283, 0.2623545, 0.30972603, 0.6080471, 0.24216416, 0.25575593, 0.23656332, 0.32440466, 0.19718231, 0.292299]",blues
"[0.56890434, 0.26256445, 0.2128298, 0.24432732, 0.27371782, 0.2487459, 0.24983443, 0.42411244, 0.21913525, 0.22783053, 0.2705748, 0.31066877]",blues
"[0.34571555, 0.33229107, 0.43541488, 0.30326334, 0.38836986, 0.35463047, 0.31103837, 0.3521654, 0.3014157, 0.4372474, 0.4687416, 0.4663816]",blues
"[0.28473288, 0.23300171, 0.33835688, 0.27499533, 0.41938978, 0.33403197, 0.3131571, 0.60118884, 0.38230804, 0.31375027, 0.27928224, 0.2808885]",blues
"[0.37270504, 0.2098413, 0.22275099, 0.18247244, 0.2646318, 0.5768776, 0.24421804, 0.25411505, 0.27483204, 0.39508885, 0.26470444, 0.21095346]",blues
"[0.29243326, 0.19063047, 0.3422638, 0.24152635, 0.36500004, 0.39854646, 0.28342512, 0.43564308, 0.227999, 0.21458219, 0.2520336, 0.2605547]",blues
"[0.4045826, 0.28494757, 0.2389235, 0.27344266, 0.34013215, 0.45590976, 0.3001369, 0.26514673, 0.25067687, 0.32149968, 0.4154148, 0.32269895]",blues
"[0.4831485, 0.24252628, 0.2509008, 0.23518062, 0.31502485, 0.61353046, 0.25643116, 0.2629291, 0.24233171, 0.3460919, 0.19130054, 0.22258991]",blues
"[0.22670111, 0.23781721, 0.48763353, 0.2589104, 0.37998962, 0.22034834, 0.28985488, 0.523088, 0.24698508, 0.22683029, 0.22568998, 0.36112565]",blues
"[0.34972113, 0.330814, 0.29122776, 0.4759901, 0.30747962, 0.30065367, 0.32091558, 0.337682, 0.32183105, 0.2820411, 0.49995077, 0.28619504]",blues
"[0.32474145, 0.3681213, 0.35000142, 0.49729067, 0.31921884, 0.3086058, 0.28401262, 0.34890595, 0.36931622, 0.32762024, 0.5798124, 0.32822523]",blues
"[0.5763273, 0.46016255, 0.42183092, 0.3943083, 0.5309705, 0.4715544, 0.40381896, 0.5201601, 0.433118, 0.4917821, 0.4546253, 0.43792126]",blues
"[0.325786, 0.2637316, 0.38008708, 0.30828375, 0.31696355, 0.53635144, 0.32596385, 0.39812624, 0.27778935, 0.42794886, 0.47695816, 0.34902382]",blues
"[0.5560136, 0.34056196, 0.3536935, 0.3439277, 0.3972527, 0.44606853, 0.3706137, 0.4640229, 0.3448364, 0.44362712, 0.40389794, 0.443387]",blues
"[0.3443679, 0.5280259, 0.47403234, 0.5391054, 0.32997888, 0.32903445, 0.30918407, 0.42544308, 0.40475857, 0.3573543, 0.5587289, 0.37071535]",blues
"[0.37629938, 0.37782776, 0.39081168, 0.6007795, 0.40354604, 0.34877953, 0.43535835, 0.4237956, 0.33390412, 0.3407734, 0.62276673, 0.40388274]",blues
"[0.43633735, 0.3439425, 0.45877546, 0.35898593, 0.43795407, 0.25819987, 0.29175478, 0.46035618, 0.30369467, 0.36353508, 0.29906464, 0.407291]",blues
"[0.41157275, 0.3721486, 0.6418923, 0.28412417, 0.36933616, 0.36557752, 0.3688895, 0.4503071, 0.23246072, 0.2765623, 0.3348636, 0.4542861]",blues
"[0.30472487, 0.38156083, 0.36259097, 0.3052921, 0.47860485, 0.27256218, 0.29799786, 0.30151618, 0.27365762, 0.48871797, 0.28948745, 0.31202105]",blues
"[0.5460371, 0.31157312, 0.38588473, 0.31306952, 0.4096923, 0.66846836, 0.36638758, 0.34432238, 0.38540858, 0.4789208, 0.52683544, 0.39105836]",blues
"[0.56837034, 0.30889344, 0.3024541, 0.4407967, 0.29677, 0.3015532, 0.31850037, 0.5720536, 0.33694425, 0.33669037, 0.58156985, 0.3895752]",blues
"[0.36586618, 0.33140406, 0.47136247, 0.27490738, 0.21532556, 0.19466764, 0.22197202, 0.38631546, 0.31243813, 0.34305838, 0.31669012, 0.3496765]",blues
"[0.28944555, 0.2663175, 0.37312308, 0.321597, 0.3345801, 0.41016537, 0.42458022, 0.45238957, 0.3783587, 0.36753854, 0.4065391, 0.36651182]",blues
"[0.30508682, 0.41187108, 0.30278224, 0.32475495, 0.3131051, 0.36256304, 0.34658346, 0.2864195, 0.39827588, 0.39432284, 0.33742836, 0.25962558]",blues
"[0.38703734, 0.41294914, 0.5119535, 0.33756867, 0.2410896, 0.26830277, 0.33253774, 0.3957482, 0.3918891, 0.4032415, 0.44438252, 0.4075436]",blues
"[0.39043343, 0.2817361, 0.22116575, 0.22261773, 0.24872185, 0.2539384, 0.27051145, 0.39009452, 0.4491653, 0.5355785, 0.4682191, 0.45139825]",blues
"[0.3437567, 0.3149924, 0.31642944, 0.33806196, 0.43911415, 0.4219914, 0.4199021, 0.38834363, 0.36101562, 0.3835907, 0.38401207, 0.42297646]",blues
"[0.5381096, 0.44473836, 0.47166497, 0.4257373, 0.42985404, 0.32130548, 0.29335687, 0.30426916, 0.37359232, 0.3693762, 0.47455359, 0.62054384]",blues
"[0.3586069, 0.306732, 0.26552373, 0.2949173, 0.3993675, 0.4484332, 0.5511097, 0.45808858, 0.39514154, 0.3941578, 0.39733514, 0.422213]",blues
"[0.4152845, 0.18875138, 0.23855866, 0.33468416, 0.376283, 0.38567993, 0.52199453, 0.29904273, 0.33445933, 0.3979816, 0.44052362, 0.59909594]",blues
"[0.35220966, 0.40070212, 0.33770022, 0.29016575, 0.37516862, 0.3402842, 0.36027074, 0.39002073, 0.4366844, 0.49205235, 0.37700534, 0.36792418]",blues
"[0.359825, 0.41093475, 0.33638957, 0.30284607, 0.31214094, 0.3141428, 0.42810258, 0.3367118, 0.3442747, 0.36932546, 0.4853262, 0.43954146]",blues
"[0.18419549, 0.21300925, 0.17026503, 0.35520467, 0.5361839, 0.30067468, 0.2655702, 0.2097706, 0.30742964, 0.14081474, 0.16538748, 0.2787245]",blues
"[0.48079258, 0.44942176, 0.42112318, 0.30837914, 0.29962993, 0.283711, 0.35187614, 0.39552024, 0.36648816, 0.36069706, 0.35019463, 0.43426272]",blues
"[0.46992537, 0.3421755, 0.36583775, 0.38547054, 0.4460437, 0.44297886, 0.44605735, 0.65123093, 0.46251625, 0.46102467, 0.4476523, 0.39737785]",blues
"[0.37288424, 0.25515062, 0.31601787, 0.4246222, 0.42012358, 0.4387153, 0.3410811, 0.43824983, 0.31610918, 0.3315167, 0.44395193, 0.34434104]",blues
"[0.12448587, 0.29797456, 0.4111422, 0.20596316, 0.33997563, 0.15979327, 0.3369272, 0.19643375, 0.17463095, 0.3213181, 0.14651541, 0.3131666]",classical
"[0.16392998, 0.24087314, 0.38838485, 0.15326962, 0.147495, 0.11807121, 0.2547348, 0.16138999, 0.090703845, 0.17595634, 0.21687399, 0.46804577]",classical
"[0.19733903, 0.42375132, 0.3618835, 0.23207875, 0.39317596, 0.14610639, 0.23258816, 0.14149223, 0.28141227, 0.28685397, 0.17807448, 0.45996684]",classical
"[0.33399972, 0.1398566, 0.3486931, 0.25355235, 0.2600847, 0.26660758, 0.20028207, 0.32216415, 0.11452199, 0.20057936, 0.16780026, 0.20250612]",classical
"[0.32666084, 0.14008462, 0.24897668, 0.12597184, 0.34184572, 0.2416039, 0.12289427, 0.12996168, 0.1832983, 0.3101378, 0.18272461, 0.30405733]",classical
"[0.31518847, 0.15671287, 0.25549227, 0.38871372, 0.18431315, 0.27619144, 0.16458248, 0.36206844, 0.42971838, 0.25386262, 0.25837114, 0.17686193]",classical
"[0.58698136, 0.22405998, 0.19525449, 0.23415686, 0.17372917, 0.27642348, 0.19078134, 0.29723093, 0.31576344, 0.15647238, 0.18855399, 0.29773337]",classical
"[0.18918532, 0.1412124, 0.34225368, 0.39533067, 0.20491402, 0.39033648, 0.17472415, 0.2759339, 0.30637047, 0.25835258, 0.4685547, 0.1720149]",classical
"[0.47982305, 0.20529716, 0.2256403, 0.16869527, 0.17334242, 0.32570818, 0.17470206, 0.2469055, 0.19397454, 0.3135335, 0.34277746, 0.206462]",classical
"[0.33005592, 0.22444353, 0.42632505, 0.4163694, 0.18138205, 0.17938241, 0.23259695, 0.32187554, 0.2131321, 0.25459903, 0.28167403, 0.18486089]",classical
"[0.28609547, 0.14705671, 0.32830793, 0.31760007, 0.21724086, 0.41461626, 0.14921063, 0.17864211, 0.10862051, 0.24732715, 0.38103604, 0.16356704]",classical
"[0.53926075, 0.252577, 0.3071734, 0.17062302, 0.12692606, 0.274555, 0.16169748, 0.3009324, 0.2427175, 0.14864704, 0.14594442, 0.2682043]",classical
"[0.54274344, 0.1896239, 0.1926094, 0.10465751, 0.25109208, 0.39665902, 0.13838576, 0.20750612, 0.12192659, 0.2589016, 0.1936999, 0.22985592]",classical
"[0.31200132, 0.20178242, 0.4073964, 0.14307305, 0.19520408, 0.1814541, 0.18625693, 0.43233463, 0.17801349, 0.22743756, 0.11537379, 0.20496827]",classical
"[0.37491456, 0.25158334, 0.44959572, 0.15482783, 0.1328124, 0.06838035, 0.17338645, 0.28823182, 0.147765, 0.25554872, 0.13152629, 0.38000938]",classical
"[0.20793988, 0.11142613, 0.15264367, 0.17796282, 0.38928434, 0.1399037, 0.28700915, 0.23639219, 0.15832125, 0.24954566, 0.15751262, 0.33167553]",classical
"[0.21899305, 0.23903005, 0.65008116, 0.26214805, 0.08808237, 0.050616495, 0.14225674, 0.27145642, 0.13936336, 0.25686175, 0.12608464, 0.18687896]",classical
"[0.2554385, 0.29506215, 0.2635166, 0.21951155, 0.50015926, 0.21874441, 0.16865675, 0.15742792, 0.17598565, 0.3985195, 0.17192197, 0.25167665]",classical
"[0.27332965, 0.22677831, 0.14774686, 0.11288131, 0.281465, 0.3676104, 0.15730825, 0.26747116, 0.30035317, 0.16189231, 0.3296574, 0.24184029]",classical
"[0.34962216, 0.23400928, 0.28385863, 0.459239, 0.18978399, 0.18581259, 0.16357027, 0.3559522, 0.37243706, 0.22250177, 0.38565046, 0.20580061]",classical
"[0.21471767, 0.12444894, 0.35887143, 0.34733808, 0.16144796, 0.33321366, 0.15378474, 0.2644679, 0.28617257, 0.28250164, 0.5175045, 0.18309268]",classical
"[0.30239362, 0.251904, 0.23004591, 0.19932576, 0.21009064, 0.3980905, 0.26288944, 0.1840143, 0.17211609, 0.29130727, 0.4094218, 0.2905956]",classical
"[0.34291935, 0.22821388, 0.2676224, 0.29332358, 0.34070987, 0.5198722, 0.21405168, 0.26441535, 0.1323251, 0.23009808, 0.30098376, 0.18007384]",classical
"[0.12948157, 0.094225675, 0.30320945, 0.6254707, 0.2789785, 0.2416578, 0.15735455, 0.21552517, 0.30695635, 0.25619543, 0.39802936, 0.20050672]",classical
"[0.23639005, 0.25216183, 0.45212638, 0.26879418, 0.13558099, 0.15832636, 0.18703473, 0.30927402, 0.20621683, 0.3103782, 0.34392282, 0.17914702]",classical
"[0.34117773, 0.19690444, 0.3939378, 0.27619025, 0.19358861, 0.30105755, 0.26011723, 0.41824564, 0.22965032, 0.38443023, 0.34351164, 0.22985893]",classical
"[0.31265077, 0.1715956, 0.38512078, 0.14286363, 0.20861033, 0.19243588, 0.18028441, 0.49180818, 0.20510057, 0.22384164, 0.16179706, 0.2721236]",classical
"[0.418, 0.22000211, 0.16707362, 0.079416625, 0.14565776, 0.33462125, 0.14134215, 0.27811602, 0.17896484, 0.44027948, 0.32008332, 0.1647325]",classical
"[0.3319049, 0.23051168, 0.42744166, 0.16572349, 0.19213116, 0.17088173, 0.29492193, 0.4493192, 0.19930255, 0.28203216, 0.14900395, 0.2615306]",classical
"[0.3602216, 0.2220959, 0.4775317, 0.17481898, 0.24905553, 0.21824649, 0.17283157, 0.27047986, 0.14493518, 0.28246522, 0.12309546, 0.2669648]",classical
"[0.2573781, 0.19094189, 0.3932623, 0.30892384, 0.17858845, 0.28077263, 0.22993773, 0.36812928, 0.3337804, 0.29609084, 0.31523043, 0.18741761]",classical
"[0.29820946, 0.21783023, 0.3413793, 0.19949673, 0.2587995, 0.35843384, 0.37405267, 0.45468515, 0.42465407, 0.23493086, 0.18227269, 0.29427198]",classical
"[0.28836435, 0.70021355, 0.32404992, 0.2151515, 0.24517256, 0.36386546, 0.3499246, 0.1574863, 0.27296436, 0.18719712, 0.1583552, 0.13617072]",classical
"[0.41295603, 0.28477353, 0.1914213, 0.2650986, 0.34100616, 0.3866993, 0.19566585, 0.3051152, 0.4560805, 0.2662351, 0.21291351, 0.331095]",classical
"[0.3747839, 0.1802854, 0.19268864, 0.13394636, 0.20436572, 0.4592735, 0.2408511, 0.25105682, 0.25983486, 0.3583818, 0.3735028, 0.2593338]",classical
"[0.3352283, 0.3895406, 0.25509587, 0.24257202, 0.3337391, 0.2653027, 0.27454707, 0.2845523, 0.46863085, 0.38509592, 0.25853622, 0.33710214]",classical
"[0.15398742, 0.30034292, 0.29998267, 0.4056825, 0.28208888, 0.11984526, 0.15469758, 0.26467326, 0.20738873, 0.29290938, 0.20922019, 0.18053916]",classical
"[0.22662453, 0.2494687, 0.23456244, 0.21464977, 0.3832593, 0.20867439, 0.18581674, 0.2945038, 0.3395189, 0.5398, 0.30003563, 0.23324741]",classical
"[0.24353953, 0.3189269, 0.46821243, 0.2685569, 0.3154988, 0.16610956, 0.22196169, 0.31601658, 0.26389328, 0.38727373, 0.27851695, 0.2868226]",classical
"[0.2958917, 0.19626592, 0.23543389, 0.3266835, 0.27839822, 0.21596158, 0.21335243, 0.15625146, 0.28012696, 0.3139412, 0.37388027, 0.3641766]",classical
"[0.1726906, 0.16351147, 0.20113975, 0.17613682, 0.2002076, 0.2945993, 0.52132905, 0.3206809, 0.36890176, 0.24677266, 0.1899911, 0.1506353]",classical
"[0.33523804, 0.24741018, 0.36139238, 0.27018592, 0.46463245, 0.31778395, 0.207345, 0.23473062, 0.15832923, 0.2158758, 0.21419214, 0.19153866]",classical
"[0.28111327, 0.15588145, 0.19329068, 0.17210294, 0.5790698, 0.21509689, 0.1576184, 0.29777634, 0.24062233, 0.43210942, 0.13525277, 0.28195658]",classical
"[0.103738, 0.058648214, 0.21183714, 0.36536226, 0.13899945, 0.17456599, 0.10676633, 0.24970077, 0.13247953, 0.14538838, 0.46673158, 0.1377082]",classical
"[0.35311058, 0.2085961, 0.18069132, 0.37589175, 0.2212047, 0.2741406, 0.20318834, 0.26612324, 0.21158901, 0.15682979, 0.39340812, 0.18229279]",classical
"[0.23919542, 0.1316788, 0.2078841, 0.20481117, 0.33351022, 0.29090366, 0.24223764, 0.25495586, 0.1745119, 0.28567207, 0.19294211, 0.27567342]",classical
"[0.18718821, 0.3900058, 0.58001107, 0.3247034, 0.3347552, 0.2757961, 0.25902185, 0.34753013, 0.4215935, 0.4297222, 0.3605437, 0.2512148]",classical
"[0.25869283, 0.24986172, 0.2366089, 0.1975869, 0.47278067, 0.23247364, 0.37133133, 0.19657044, 0.12578419, 0.19598141, 0.13447754, 0.4287461]",classical
"[0.22266486, 0.26445898, 0.31562692, 0.43247354, 0.3264709, 0.2234377, 0.30418906, 0.19914602, 0.30354732, 0.2920909, 0.32917157, 0.3433105]",classical
"[0.5672502, 0.22129181, 0.2787291, 0.20264935, 0.3409087, 0.31959805, 0.26979807, 0.5040021, 0.23177874, 0.24236757, 0.19719647, 0.36381242]",classical
"[0.53640336, 0.6131538, 0.22302751, 0.15458247, 0.121316776, 0.22327441, 0.25293806, 0.25962973, 0.28328228, 0.19475384, 0.37539044, 0.19437607]",classical
"[0.37507305, 0.39823943, 0.4917449, 0.41076046, 0.45233428, 0.32307503, 0.4087592, 0.40376136, 0.28654388, 0.33962068, 0.31262532, 0.3749494]",classical
"[0.44506738, 0.342208, 0.38326743, 0.35184938, 0.39694265, 0.39336437, 0.3377861, 0.33111683, 0.3096739, 0.46066993, 0.50967395, 0.3932877]",classical
"[0.1796249, 0.24987301, 0.6558299, 0.23977675, 0.22517177, 0.27885783, 0.3165287, 0.54295385, 0.22178206, 0.32167128, 0.2233999, 0.19524051]",classical
"[0.5018399, 0.50398976, 0.49062717, 0.3764035, 0.2857235, 0.27733248, 0.20933454, 0.25144356, 0.21093474, 0.2110053, 0.2434867, 0.27239165]",classical
"[0.095791884, 0.24041587, 0.11912486, 0.2918623, 0.27483186, 0.100711845, 0.17050144, 0.091952614, 0.25918147, 0.29158962, 0.12482074, 0.17691843]",classical
"[0.16577628, 0.20631449, 0.6905311, 0.30281365, 0.27744806, 0.1839257, 0.32622647, 0.6212358, 0.27904874, 0.28351712, 0.15266937, 0.26712433]",classical
